method,n_perturbations,mean_auroc,auroc_ci95_low,auroc_ci95_high,mean_auprc,auprc_ci95_low,auprc_ci95_high
S1 Wasserstein,5,0.7864,0.7655378276908634,0.8072621723091365,0.01906,0.015961308142285937,0.022158691857714064
S2 persistence,5,0.7482,0.6622673419961883,0.8341326580038116,0.025259999999999998,0.0009910109093956496,0.049528989090604346
Wilcoxon rank-sum,5,0.529,0.4151589790709708,0.6428410209290292,0.00894,0.004771077300064218,0.013108922699935781
t-test,5,0.5227999999999999,0.42990975613370686,0.615690243866293,0.008499999999999999,0.005029998951954022,0.011970001048045976
MAST,5,0.4062,0.3543287527021318,0.4580712472978682,0.0014,0.001224402193382983,0.0015755978066170169
