gene,alpha_UMI,se,t_stat,p_value,fdr,p_value_perm,fdr_perm
TARBP1,0.016408991763294835,0.0037470256055533277,4.3792045987012465,1.2455351697333191e-05,0.025184721132007714,0.6413586413586414,0.9577748691485768
RP1-187B23.1,0.014464365375594734,0.00370525459122448,3.903743999089351,9.749333946818442e-05,0.09856576620233445,0.24575424575424576,0.956911334409484
CTD-2017F17.1,0.012591116104443344,0.0035778201433841893,3.519214381897391,0.0004413931375590494,0.29749897471479925,0.011988011988011988,0.7695161980876267
CTD-2026K11.6,0.012164691737514688,0.0037392767443705423,3.2532204939966807,0.00115788411166052,0.5360372046580744,0.988011988011988,0.9968863471857483
RP3-323N1.2,0.008967486300198817,0.0027897650981565654,3.2144234316076226,0.001325512375514526,0.5360372046580744,0.4945054945054945,0.956911334409484
CEND1,0.01229801446246694,0.0039188513155843634,3.1381681702384183,0.0017220246351644158,0.5803223020504081,0.33466533466533466,0.956911334409484
SCUBE3,0.00924023308446165,0.003030473668382049,3.0491052210303162,0.002321895321145108,0.6082835161291142,0.46053946053946054,0.956911334409484
TSHZ3,0.013948286786900323,0.0045908612200884534,3.038272367254992,0.0024066607957630632,0.6082835161291142,0.47952047952047955,0.956911334409484
MTRNR2L8,0.009342978704599304,0.003136578365420338,2.9787168105217283,0.002925437381371073,0.626725200385226,0.12187812187812187,0.9282996415349357
RP11-265N7.2,0.007472591486018018,0.002539342092424764,2.942727373482655,0.00328652065854173,0.626725200385226,0.25074925074925075,0.956911334409484
ENPP3,0.013659320953692053,0.004659829181373287,2.9312922045060064,0.003409484275092723,0.626725200385226,0.6213786213786214,0.956911334409484
HLA-DQB2,0.00848136236359698,0.00293677404490304,2.887986012513983,0.003914089246875966,0.633792703429368,0.5424575424575424,0.956911334409484
RP11-357K6.1,0.011686706086211958,0.004064579533610968,2.875255851083476,0.004074829448358943,0.633792703429368,0.5184815184815185,0.956911334409484
RP4-669L17.10,-0.011943517399259924,0.004243616851705791,-2.8144664838099644,0.004928191815409054,0.6440663099382856,0.1978021978021978,0.9553959553959553
CCRL2,0.010805693825847654,0.003855294020199955,2.802819647276711,0.005109069458741193,0.6440663099382856,0.47052947052947053,0.956911334409484
CRMP1,-0.005781384958483115,0.0020736668828399926,-2.788000814558231,0.0053478810524198745,0.6440663099382856,0.3386613386613387,0.956911334409484
PRKG1-AS1,0.011073610507893452,0.004016848356760158,2.756790778336044,0.005884132229555829,0.6440663099382856,0.0979020979020979,0.9204972242946926
AC004744.3,-0.008725161212241516,0.0031985589137571357,-2.7278413333928304,0.00642440237473423,0.6440663099382856,0.6233766233766234,0.956911334409484
ABCA10,0.011726770530790038,0.004321716509215705,2.7134520521605134,0.006709220512376008,0.6440663099382856,0.5094905094905094,0.956911334409484
OTUD5,-0.009710876020398624,0.003609691714590209,-2.690223096101259,0.007193037117674365,0.6440663099382856,0.8381618381618382,0.9771869156484541
RP11-42I10.1,0.010266053522212845,0.0038231369174671565,2.685243490837744,0.00730074527334621,0.6440663099382856,0.2047952047952048,0.9553959553959553
SLC25A3,0.006105534116708157,0.0022793814811236496,2.6785924897905544,0.007446863678158283,0.6440663099382856,0.6483516483516484,0.958309234625024
LINC01317,0.008354990917762203,0.0031397440695324994,2.661042025315006,0.007845117318640184,0.6440663099382856,0.7492507492507493,0.9674233812164847
BTG3,0.00666447074297113,0.0025353759046205706,2.6285927585029514,0.008632035856704029,0.6440663099382856,0.26373626373626374,0.956911334409484
RP11-81H14.1,-0.01004419713321059,0.003822095101236198,-2.6279296739527283,0.008648827288182698,0.6440663099382856,0.37662337662337664,0.956911334409484
CRYL1,-0.005176546435660751,0.001993900558172842,-2.5961908754375425,0.009487519348410358,0.6440663099382856,0.27972027972027974,0.956911334409484
RP11-44I10.3,0.006623069716203287,0.002554972563507216,2.5922273337875668,0.009597197767641747,0.6440663099382856,0.5244755244755245,0.956911334409484
C12orf54,0.00731601061661638,0.0028433638581891194,2.573012453380914,0.010145104399844425,0.6440663099382856,0.43756243756243757,0.956911334409484
TMEM207,-0.011398620344593371,0.004455266995049016,-2.5584595395197876,0.01057844649478183,0.6440663099382856,0.7922077922077922,0.9752453951742207
TRDMT1,-0.008319201868053721,0.003256736353616982,-2.554459730463515,0.010700399626054543,0.6440663099382856,0.15284715284715283,0.937847866419295
CCDC24,0.008841300546147467,0.003471819331156259,2.5465900448225236,0.010944001721714442,0.6440663099382856,0.2177822177822178,0.9563987033374789
IFT74-AS1,0.011363471755920312,0.004470512875690872,2.541872056270873,0.01109239787153676,0.6440663099382856,0.19880119880119881,0.9553959553959553
CTD-3252C9.2,0.00998184054034565,0.0039426507878023475,2.5317587272057245,0.011416535874965899,0.6440663099382856,0.5014985014985015,0.956911334409484
CRYBA2,-0.00825134565781543,0.003262191128449619,-2.5293875597455924,0.011493740070665557,0.6440663099382856,0.2967032967032967,0.956911334409484
RET,0.01123241746631223,0.004441077351563345,2.5292100490786704,0.011499538353695571,0.6440663099382856,0.32167832167832167,0.956911334409484
MTHFD1L,-0.006837795738462848,0.0027132772170687597,-2.52012425985997,0.011799811528017028,0.6440663099382856,0.24075924075924077,0.956911334409484
CTAGE6,0.007836549692105206,0.003111211532485259,2.5188096695703597,0.011843828366883666,0.6440663099382856,0.41058941058941056,0.956911334409484
DAB2,0.007968404001611556,0.003173242554642871,2.5111235162122174,0.012104114627920303,0.6440663099382856,0.3676323676323676,0.956911334409484
SNX16,0.009091566165096543,0.0036629293176042733,2.4820479394454624,0.013135214701528545,0.672808860877548,0.001998001998001998,0.7574925074925075
CHST9,-0.00982564774307099,0.0039662294722152755,-2.4773270966544834,0.013309769750297684,0.672808860877548,0.6223776223776224,0.956911334409484
PGLYRP3,-0.009943981018698169,0.004039166498848771,-2.4618893579974745,0.013894996738767332,0.685260570872867,0.9430569430569431,0.9947745760732774
RP6-24A23.6,-0.00977670381396983,0.004006936058965376,-2.4399450528022193,0.014765981224234547,0.7025022429296551,0.5884115884115884,0.956911334409484
RP11-279F6.2,-0.007124729709745109,0.002925112789949967,-2.435711106327814,0.014939464117692964,0.7025022429296551,0.7032967032967034,0.9647867162897223
LINC01140,-0.006784815531202716,0.00283157495176649,-2.396127825247071,0.016650264727551142,0.7558355300595955,0.8161838161838162,0.9753248496703995
NUTM2A-AS1,-0.006587118009065739,0.002753385203048382,-2.3923706722076106,0.01682126550577735,0.7558355300595955,0.8361638361638362,0.9771869156484541
TMED4,-0.00970045174590883,0.004128112867515249,-2.3498513866325745,0.018866618196844417,0.7794328935713756,0.3516483516483517,0.956911334409484
RP11-232L2.2,0.005177610363149784,0.002203774005354211,2.3494289117523377,0.018887987864866763,0.7794328935713756,0.6233766233766234,0.956911334409484
SOX11,0.008938818644284788,0.0038311538515988634,2.333192294157542,0.01972548158789518,0.7794328935713756,0.07692307692307693,0.8977688977688979
RP11-147C23.1,-0.009082578108368234,0.003959100299341327,-2.2941015436959256,0.02187611716825788,0.7794328935713756,0.2937062937062937,0.956911334409484
RP11-12M5.3,-0.007688292680644288,0.0033529349565108164,-2.2930038251152673,0.021939347983623212,0.7794328935713756,0.32667332667332666,0.956911334409484
C17orf97,0.005135686052619667,0.002245644241089855,2.286954433229785,0.022290667498163,0.7794328935713756,0.03296703296703297,0.7842275371687137
LINC01099,-0.006426632709659712,0.00282392763898186,-2.2757781116425835,0.022952624450589498,0.7794328935713756,0.5674325674325674,0.956911334409484
LINC01410,-0.009238686782995937,0.004071804918711899,-2.268941407417989,0.023365920367913757,0.7794328935713756,0.38461538461538464,0.956911334409484
MFSD11,0.007373164638932629,0.0032528889352562707,2.2666512093347833,0.02350580661456261,0.7794328935713756,0.8361638361638362,0.9771869156484541
CABIN1,-0.009098103163275825,0.004023627141146373,-2.2611695478029357,0.02384358587694757,0.7794328935713756,0.7572427572427572,0.9693363240533052
RP11-73M7.1,-0.00969939098765329,0.004291088333880159,-2.2603568682261277,0.023894019997828274,0.7794328935713756,0.5254745254745254,0.956911334409484
RP11-981G7.3,-0.008466345403550596,0.0037487896458614843,-2.2584210380795433,0.02401452886979544,0.7794328935713756,0.6063936063936064,0.956911334409484
LINC01537,-0.008568213749675617,0.003800586759412011,-2.254444982331873,0.024263700428015,0.7794328935713756,0.45254745254745254,0.956911334409484
TRADD,0.009873159487085621,0.004380902264925947,2.253681750932706,0.024311786338488423,0.7794328935713756,0.19080919080919082,0.9553959553959553
RP11-263K4.5,0.005435612199471791,0.0024149888928444384,2.2507814489644837,0.02449526882403206,0.7794328935713756,0.906093906093906,0.9876667806586944
CCDC50,0.007126017940096983,0.00318153633775749,2.239804039176094,0.025200650135456693,0.7794328935713756,0.8041958041958042,0.9752453951742207
CPE,-0.00732062197709077,0.0032746217567677246,-2.2355626148146306,0.0254778689119187,0.7794328935713756,0.3386613386613387,0.956911334409484
RP11-280K24.1,0.007029165734254018,0.00314505079163155,2.234992755269711,0.02551531529797899,0.7794328935713756,0.2837162837162837,0.956911334409484
RPL34,0.007517574730327919,0.00336484863985685,2.234149447698635,0.025570817820318947,0.7794328935713756,0.6173826173826173,0.956911334409484
COX7A1,-0.008710357971344514,0.003904600287106916,-2.230793763987595,0.0257927097113013,0.7794328935713756,0.6573426573426573,0.9590539143853265
CTD-3212A4.2,0.007191271785590325,0.003229193581265991,2.226955927110691,0.026048524397584344,0.7794328935713756,0.013986013986013986,0.7695161980876267
HNF4A-AS1,-0.006299677774130442,0.0028306590979586942,-2.2255162335412186,0.026145053091521854,0.7794328935713756,0.2677322677322677,0.956911334409484
CTSS,0.007694362882140757,0.0034588949528734014,2.224514761787318,0.02621238217747455,0.7794328935713756,0.08791208791208792,0.8977688977688979
CDH19,-0.009118388982837974,0.0041533804376510915,-2.195413861002486,0.028235399358200804,0.7954493618684108,0.7852147852147852,0.9710729637335141
TMEM126B,0.01020265680751827,0.004660937186196707,2.1889711017198623,0.028701058407181654,0.7954493618684108,0.5104895104895105,0.956911334409484
CTD-2192J16.26,-0.0062468930219288865,0.0028540463876179784,-2.188784684449516,0.02871462989413205,0.7954493618684108,0.43356643356643354,0.956911334409484
ZNF140,0.014182554675307785,0.0064877054518209685,2.186066365162253,0.028913157147981695,0.7954493618684108,0.06293706293706294,0.880504111273342
VPS37D,-0.010903003071953517,0.0049918138028292825,-2.184176634507417,0.029051865719786473,0.7954493618684108,0.5984015984015985,0.956911334409484
SMIM11B,0.008248235171758147,0.0037839393542276997,2.1798011013417598,0.029375236796629397,0.7954493618684108,0.9460539460539461,0.9947745760732774
TRPC3,-0.008867827367923313,0.004071535134966956,-2.1780058562587117,0.029508807045223198,0.7954493618684108,0.6223776223776224,0.956911334409484
IAPP,-0.007937620027415273,0.003661141931976556,-2.1680721957500806,0.030257380704641013,0.7954493618684108,0.41358641358641357,0.956911334409484
FOXA2,-0.006512192710810434,0.0030138521930277926,-2.1607538438260168,0.03081926473250771,0.7954493618684108,0.36063936063936064,0.956911334409484
CENPL,-0.007482254714645533,0.0034700514233486916,-2.1562374160503945,0.031170478824514885,0.7954493618684108,0.3936063936063936,0.956911334409484
RP11-276E17.2,-0.005504244366999736,0.0025558649093149715,-2.1535740589954897,0.03137919802153771,0.7954493618684108,0.8931068931068931,0.9852218626060588
YIPF6,0.0074720691212120305,0.0034715098918106603,2.1523974737438003,0.031471784841480145,0.7954493618684108,0.022977022977022976,0.7838728435743362
DDAH2,-0.005326282371079392,0.0024816303728508785,-2.146283519635703,0.03195668282895728,0.7955426866264967,0.22477522477522477,0.9563987033374789
USP40,-0.007868904951585959,0.0036794650283729115,-2.1386002831676625,0.03257511586243161,0.7955426866264967,0.1998001998001998,0.9553959553959553
CTC-297N7.1,0.007423798159633163,0.0034729480408457166,2.13760703365525,0.03265580761127558,0.7955426866264967,0.6213786213786214,0.956911334409484
RP3-428L16.1,0.010843209169697209,0.005121292858073507,2.117279653828275,0.03434522533852072,0.8141628794529413,0.6113886113886113,0.956911334409484
SPAG8,0.0063313253861807485,0.0029992863679001863,2.1109439411786566,0.0348868360614347,0.8141628794529413,0.7212787212787213,0.9653237851257654
LYZ,0.008674464222821313,0.004110122381334403,2.1105123930647847,0.03492399111861478,0.8141628794529413,0.11788211788211789,0.9282996415349357
RP11-544I20.2,-0.0069936011225439215,0.003328005090077787,-2.1014394309049433,0.035713010473847895,0.8141628794529413,0.8351648351648352,0.9771869156484541
AVIL,-0.009055827034821705,0.004309708350823681,-2.101262149929202,0.03572857782570709,0.8141628794529413,0.09090909090909091,0.90999099909991
TMEM205,-0.006819289371883667,0.0032472187480128934,-2.100040034584849,0.03583605156840345,0.8141628794529413,0.01898101898101898,0.7838728435743362
