method,n_cells,theta_mean,n_confounders,target,auroc,auprc,type_i,ks_stat,time
PGAA_linear,1600,0.5,3,gene_0081,0.6251451800232288,0.15007908039177562,0.020905923344947737,0.15622767729127507,0.7138848304748535
Partial_Pearson,1600,0.5,3,gene_0081,0.6312427409988386,0.14103878352539648,0.020905923344947737,0.14101546472392296,0.16944408416748047
PGAA_linear,1600,0.5,3,gene_0044,0.9878048780487805,0.7974464193214195,0.03484320557491289,0.10488382526521772,0.6531178951263428
Partial_Pearson,1600,0.5,3,gene_0044,0.9860627177700347,0.8549920978492408,0.027874564459930314,0.08640383120785317,0.14340901374816895
PGAA_linear,1600,0.5,3,gene_0078,0.9941927990708479,0.8794359031491386,0.0313588850174216,0.1620547165279379,0.6798300743103027
Partial_Pearson,1600,0.5,3,gene_0078,0.9976771196283392,0.9537337662337663,0.03484320557491289,0.1739406687937071,0.16194987297058105
PGAA_linear,1600,0.5,3,gene_0293,0.9962253193960511,0.9139533532915887,0.06620209059233449,0.13685307229682445,0.606334924697876
Partial_Pearson,1600,0.5,3,gene_0293,0.9796747967479675,0.8165945165945167,0.1602787456445993,0.2389975324428076,0.15127086639404297
PGAA_linear,1600,0.5,5,gene_0035,0.967479674796748,0.7848564062485965,0.09059233449477352,0.21755552603632367,0.5827178955078125
Partial_Pearson,1600,0.5,5,gene_0035,0.9459930313588849,0.73909868060957,0.16376306620209058,0.24193689454585893,0.19948482513427734
PGAA_linear,1600,0.5,5,gene_0019,0.8225900116144019,0.3814996274664539,0.08362369337979095,0.2167479342613678,0.6598911285400391
