gene,S2_obs,null_mean,null_std,z_score,p_perm,p_zscore,p_pooled
ALK,0.836561613523647,0.684327323728605,0.03062708006059472,4.970577981767971,0.001996007984031936,6.675360579855294e-07,0.006170974155069582
XDH,0.6897916030385923,0.6888281753161395,0.011788605519483566,0.08172533391336692,0.3972055888223553,0.934865132192706,0.24597216699801192
LINC01317,0.6756968674735118,0.5589913349483082,0.030246345937412985,3.858500222363776,0.001996007984031936,0.00011408496403042534,0.36228429423459246
EIF2AK2,0.6544289042671353,0.6809244444484251,0.014302434854764698,-1.8525195500164302,0.9700598802395209,0.06395125288313452,0.5151272365805168
HNRNPLL,0.6685977263370401,0.6662603305709416,0.014789081081161884,0.158048749159653,0.37524950099800397,0.8744183851465355,0.42042147117296225
PPM1B,0.7781929857427721,0.6730475836986136,0.029035740068310854,3.621240643316988,0.001996007984031936,0.00029319363707802637,0.03476143141153081
AC016722.4,0.6579658424742316,0.6376605594418713,0.018190750716803546,1.116242168807382,0.1317365269461078,0.2643184886790235,0.4953658051689861
FBXO11,0.6933286015578924,0.6979888634725064,0.01150231146496148,-0.40515873081769277,0.590818363273453,0.6853608381031684,0.2203200795228628
RP11-191L17.1,0.7110048249179597,0.6418672747766924,0.030176036591792275,2.291140850487638,0.005988023952095809,0.021955268649102466,0.12750497017892645
PSME4,0.6986139552973553,0.6784981005925516,0.013048714945561821,1.541596608457145,0.07584830339321358,0.12317165023920329,0.18667097415506959
ACYP2,0.680921554141074,0.6848597683086397,0.011442124501003216,-0.3441855721129448,0.6766467065868264,0.7307067320002305,0.3253399602385686
PPP4R3B,0.684476969488819,0.6821717450161022,0.011029234258268685,0.20901038265537786,0.3273453093812375,0.8344401334337623,0.29057057654075547
FANCL,0.6384833241705434,0.5703884721728308,0.023376650642436044,2.9129430489967585,0.003992015968063872,0.0035803989328513364,0.5981749502982108
PUS10,0.7268979101662937,0.6816060339577236,0.018528034462238864,2.4445051794822037,0.017964071856287425,0.014505099801638499,0.09338170974155069
TMEM17,0.6809560058881239,0.577556311830036,0.028801394195759764,3.590093359900861,0.001996007984031936,0.0003305595449161203,0.3196928429423459
AC008074.4,0.7004293995232315,0.6769642373899826,0.012668904285088432,1.852185603838371,0.03792415169660679,0.06399917530347565,0.17347912524850895
CEP68,0.7021711065238272,0.6396555271235844,0.02487292350613149,2.513398932973415,0.003992015968063872,0.011957403399156075,0.1651769383697813
SPRED2,0.5747969357112533,0.5304774362980001,0.014076494671156167,3.1484755579145816,0.001996007984031936,0.0016412444803530768,0.8379363817097415
AC012370.3,0.7906026849971394,0.6172172508869899,0.031099560888055267,5.575173062226029,0.001996007984031936,2.472839089051604e-08,0.024443339960238567
MEIS1,0.7039062821284551,0.687884272256389,0.014620121494246524,1.0958876010962086,0.17165668662674652,0.27312796575677156,0.16088568588469185
