dataset_id	platform	split_strength	analysis_unit	method	median_observed_overlap	median_pseudo_overlap	median_specificity_margin	n_repeats
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	NFATC1|stimulated	welch_abs_t	0.03	0.03	0.0	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	NFATC1|unstimulated	absolute_mean_shift	0.06	0.04	0.0199999999999999	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	NFATC1|unstimulated	pgaa_h	0.03	0.02	0.02	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	NFATC1|unstimulated	pgaa_w	0.08	0.04	0.03	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	NFATC1|unstimulated	welch_abs_t	0.03	0.02	0.01	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	NFATC3|stimulated	absolute_mean_shift	0.08	0.06	0.01	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	NFATC3|stimulated	pgaa_h	0.02	0.02	0.0	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	NFATC3|stimulated	pgaa_w	0.1	0.07	0.03	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	NFATC3|stimulated	welch_abs_t	0.02	0.02	0.0099999999999999	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	NFKB1|stimulated	absolute_mean_shift	0.07	0.06	0.01	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	NFKB1|stimulated	pgaa_h	0.02	0.02	-0.0099999999999999	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	NFKB1|stimulated	pgaa_w	0.09	0.09	0.0	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	NFKB1|stimulated	welch_abs_t	0.02	0.02	0.0	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	NR4A1|stimulated	absolute_mean_shift	0.05	0.04	0.0	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	NR4A1|stimulated	pgaa_h	0.02	0.03	-0.01	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	NR4A1|stimulated	pgaa_w	0.06	0.05	-0.02	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	NR4A1|stimulated	welch_abs_t	0.02	0.03	0.01	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	PTPN6|stimulated	absolute_mean_shift	0.06	0.05	0.0099999999999999	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	PTPN6|stimulated	pgaa_h	0.03	0.02	0.02	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	PTPN6|stimulated	pgaa_w	0.07	0.05	0.0199999999999999	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	PTPN6|stimulated	welch_abs_t	0.01	0.02	-0.01	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	RELB|stimulated	absolute_mean_shift	0.08	0.04	0.04	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	RELB|stimulated	pgaa_h	0.02	0.03	0.0	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	RELB|stimulated	pgaa_w	0.08	0.05	0.0499999999999999	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	RELB|stimulated	welch_abs_t	0.03	0.01	0.0199999999999999	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	REL|stimulated	absolute_mean_shift	0.05	0.06	-0.0199999999999999	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	REL|stimulated	pgaa_h	0.03	0.02	0.0	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	REL|stimulated	pgaa_w	0.05	0.09	-0.0399999999999999	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	REL|stimulated	welch_abs_t	0.02	0.02	0.0	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	RUNX2|stimulated	absolute_mean_shift	0.03	0.07	-0.03	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	RUNX2|stimulated	pgaa_h	0.04	0.03	0.0	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	RUNX2|stimulated	pgaa_w	0.07	0.08	-0.01	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	RUNX2|stimulated	welch_abs_t	0.02	0.01	0.0199999999999999	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	ADAM10	absolute_mean_shift	0.25	0.08	0.1699999999999999	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	ADAM10	pgaa_h	0.05	0.03	0.03	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	ADAM10	pgaa_w	0.26	0.11	0.15	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	ADAM10	welch_abs_t	0.14	0.02	0.11	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	ANAPC15	absolute_mean_shift	0.06	0.04	0.0199999999999999	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	ANAPC15	pgaa_h	0.02	0.04	-0.02	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	ANAPC15	pgaa_w	0.09	0.08	0.0	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	ANAPC15	welch_abs_t	0.02	0.01	0.0	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	BCAR1	absolute_mean_shift	0.07	0.04	0.01	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	BCAR1	pgaa_h	0.04	0.03	0.0099999999999999	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	BCAR1	pgaa_w	0.09	0.06	0.03	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	BCAR1	welch_abs_t	0.02	0.02	0.0	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	BPTF	absolute_mean_shift	0.29	0.04	0.25	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	BPTF	pgaa_h	0.05	0.04	0.0	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	BPTF	pgaa_w	0.34	0.08	0.26	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	BPTF	welch_abs_t	0.17	0.02	0.15	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	BTF3	absolute_mean_shift	0.16	0.08	0.0999999999999999	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	BTF3	pgaa_h	0.03	0.02	0.01	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	BTF3	pgaa_w	0.2	0.09	0.12	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	BTF3	welch_abs_t	0.06	0.02	0.0499999999999999	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	C7orf26	absolute_mean_shift	0.34	0.05	0.31	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	C7orf26	pgaa_h	0.03	0.03	-0.01	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	C7orf26	pgaa_w	0.35	0.06	0.3	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	C7orf26	welch_abs_t	0.25	0.02	0.23	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CCDC6	absolute_mean_shift	0.19	0.08	0.1	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CCDC6	pgaa_h	0.06	0.04	0.01	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CCDC6	pgaa_w	0.21	0.11	0.09	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CCDC6	welch_abs_t	0.07	0.01	0.05	5
