dataset_id	platform	analysis_unit	control_stratum	excluded_feature	n_discovery_perturbed_available	n_validation_perturbed_available	n_discovery_controls_available	n_validation_controls_available	n_per_group	eligible	selection_basis	split_strength	source_h5ad	selected_rank
tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	ADAM10	all	ADAM10	91	90	203	234	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_4_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	1
tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	AFG3L2	all	AFG3L2	88	93	203	234	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_4_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	2
tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	AKAP9	all	AKAP9	82	83	203	234	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_4_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	3
tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	ANO10	all	ANO10	113	113	203	234	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_4_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	4
tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	AP2A2	all	AP2A2	122	117	203	234	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_4_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	5
tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	APEX1	all	APEX1	75	86	203	234	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_4_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	6
tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	ARID1B	all	ARID1B	70	90	203	234	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_4_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	7
tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	ATP1A3	all	ATP1A3	104	101	203	234	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_4_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	8
tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	ATP6AP2	all	ATP6AP2	101	103	203	234	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_4_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	9
tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	ATXN1	all	ATXN1	98	90	203	234	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_4_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	10
tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	BAX	all	BAX	84	94	203	234	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_4_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	11
tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	BECN1	all	BECN1	125	109	203	234	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_4_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	12
tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	BNIP1	all	BNIP1	79	89	203	234	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_4_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	13
tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	CASP3	all	CASP3	117	127	203	234	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_4_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	14
tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	CELF1	all	CELF1	76	73	203	234	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_4_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	15
tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	CEP63	all	CEP63	122	110	203	234	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_4_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	16
norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	AHR	all	AHR	270	288	5837	6018	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_gemgroup_holdout_8_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	1
norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	ARID1A	all	ARID1A	126	106	5837	6018	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_gemgroup_holdout_8_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	2
norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	ARRDC3	all	ARRDC3	245	250	5837	6018	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_gemgroup_holdout_8_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	3
norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	ATL1	all	ATL1	198	181	5837	6018	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_gemgroup_holdout_8_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	4
norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	BAK1	all	BAK1	745	712	5837	6018	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_gemgroup_holdout_8_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	5
norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	BCL2L11	all	BCL2L11	291	291	5837	6018	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_gemgroup_holdout_8_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	6
norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	BCORL1	all	BCORL1	265	268	5837	6018	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_gemgroup_holdout_8_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	7
norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	BPGM	all	BPGM	217	247	5837	6018	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_gemgroup_holdout_8_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	8
norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	C19orf26	all	C19orf26	424	448	5837	6018	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_gemgroup_holdout_8_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	9
norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	C3orf72	all	C3orf72	141	123	5837	6018	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_gemgroup_holdout_8_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	10
norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	CBFA2T3	all	CBFA2T3	314	344	5837	6018	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_gemgroup_holdout_8_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	11
norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	CBL	all	CBL	312	351	5837	6018	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_gemgroup_holdout_8_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	12
norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	CDKN1A	all	CDKN1A	167	193	5837	6018	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_gemgroup_holdout_8_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	13
norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	CDKN1B	all	CDKN1B	277	273	5837	6018	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_gemgroup_holdout_8_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	14
norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	CDKN1C	all	CDKN1C	119	111	5837	6018	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_gemgroup_holdout_8_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	15
norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	CEBPA	all	CEBPA	223	237	5837	6018	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_gemgroup_holdout_8_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	16
replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	ABCF1	all	ABCF1	74	83	5884	5601	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_56_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	1
replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	ABHD17A	all	ABHD17A	93	94	5884	5601	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_56_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	2
replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	ACIN1	all	ACIN1	72	90	5884	5601	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_56_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	3
