dataset_id	platform	split_strength	method	n_units	median_observed_overlap	median_pseudo_overlap	median_specificity_margin	n_units_positive_margin	wilcoxon_one_sided_p	holm_adjusted_p	stability_threshold	specificity_alpha	stability_gate_pass	specificity_gate_pass	dual_gate_state
schiebinger2019_mesc_cytokine	Mouse embryonic stem-cell state transition	biological_replicate_holdout_1_vs_1	pgaa_h	16	0.03	0.03	0.0	7	0.7665976389017799	0.7665976389017799	0.2	0.05	False	False	neither_stable_nor_specific
schiebinger2019_mesc_cytokine	Mouse embryonic stem-cell state transition	biological_replicate_holdout_1_vs_1	pgaa_w	16	0.64	0.15	0.48	16	1.52587890625e-05	6.103515625e-05	0.2	0.05	True	True	stable_and_specific
schiebinger2019_mesc_cytokine	Mouse embryonic stem-cell state transition	biological_replicate_holdout_1_vs_1	welch_abs_t	16	0.51	0.02	0.49	16	1.52587890625e-05	6.103515625e-05	0.2	0.05	True	True	stable_and_specific
shifrut2018_primary_t_crispr	Primary human T-cell CRISPR-Cas9	donor_holdout_1_vs_1	absolute_mean_shift	16	0.375	0.055	0.31999999999999995	16	1.52587890625e-05	6.103515625e-05	0.2	0.05	True	True	stable_and_specific
shifrut2018_primary_t_crispr	Primary human T-cell CRISPR-Cas9	donor_holdout_1_vs_1	pgaa_h	16	0.06	0.08	-0.00499999999999995	6	0.7262748610479246	0.7262748610479246	0.2	0.05	False	False	neither_stable_nor_specific
shifrut2018_primary_t_crispr	Primary human T-cell CRISPR-Cas9	donor_holdout_1_vs_1	pgaa_w	16	0.38	0.06	0.32	16	1.52587890625e-05	6.103515625e-05	0.2	0.05	True	True	stable_and_specific
shifrut2018_primary_t_crispr	Primary human T-cell CRISPR-Cas9	donor_holdout_1_vs_1	welch_abs_t	16	0.28500000000000003	0.02	0.245	16	1.52587890625e-05	6.103515625e-05	0.2	0.05	True	True	stable_and_specific
sunshine2023_calu3_crispri	Human Calu-3 epithelial CRISPRi	recorded_gem_group_holdout_4_vs_4	absolute_mean_shift	16	0.315	0.11	0.18	16	1.52587890625e-05	6.103515625e-05	0.2	0.05	True	True	stable_and_specific
sunshine2023_calu3_crispri	Human Calu-3 epithelial CRISPRi	recorded_gem_group_holdout_4_vs_4	pgaa_h	16	0.03	0.03	0.0	7	0.6132984228585744	0.6132984228585744	0.2	0.05	False	False	neither_stable_nor_specific
sunshine2023_calu3_crispri	Human Calu-3 epithelial CRISPRi	recorded_gem_group_holdout_4_vs_4	pgaa_w	16	0.33	0.135	0.185	16	1.52587890625e-05	6.103515625e-05	0.2	0.05	True	True	stable_and_specific
sunshine2023_calu3_crispri	Human Calu-3 epithelial CRISPRi	recorded_gem_group_holdout_4_vs_4	welch_abs_t	16	0.055	0.02	0.03	16	1.52587890625e-05	6.103515625e-05	0.2	0.05	False	True	specific_but_not_stable
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	absolute_mean_shift	16	0.045	0.04	0.01	11	0.027991498465371873	0.11196599386148749	0.2	0.05	False	False	neither_stable_nor_specific
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	pgaa_h	16	0.02	0.02	0.0	6	0.5784890118151376	0.7253151482375766	0.2	0.05	False	False	neither_stable_nor_specific
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	pgaa_w	16	0.05	0.04	0.00999999999999995	9	0.04299672307935258	0.12899016923805773	0.2	0.05	False	False	neither_stable_nor_specific
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	welch_abs_t	16	0.02	0.02	0.0	3	0.3626575741187883	0.7253151482375766	0.2	0.05	False	False	neither_stable_nor_specific
wessels2023_myeloid_cas13	Human myeloid-cell CRISPR-Cas13	sample_tag_holdout_4_vs_4	absolute_mean_shift	16	0.225	0.05	0.18999999999999995	16	1.52587890625e-05	6.103515625e-05	0.2	0.05	True	True	stable_and_specific
wessels2023_myeloid_cas13	Human myeloid-cell CRISPR-Cas13	sample_tag_holdout_4_vs_4	pgaa_h	16	0.05	0.04	0.0099999999999999	10	0.08147107866299896	0.08147107866299896	0.2	0.05	False	False	neither_stable_nor_specific
wessels2023_myeloid_cas13	Human myeloid-cell CRISPR-Cas13	sample_tag_holdout_4_vs_4	pgaa_w	16	0.235	0.06	0.185	15	0.0003274791716928478	0.0009725778801923958	0.2	0.05	True	True	stable_and_specific
wessels2023_myeloid_cas13	Human myeloid-cell CRISPR-Cas13	sample_tag_holdout_4_vs_4	welch_abs_t	16	0.14500000000000002	0.02	0.12	15	0.0003241926267307986	0.0009725778801923958	0.2	0.05	False	True	specific_but_not_stable
