contrast	first_stage	second_stage	second_minus_first_log1p_cpm	raw_cpm_fold_change	all_pairwise_direction_consistent	exact_directional_p	inference_state
parental_to_early_t790m	parental	early_t790m_gr2	0.6867135300912315	1.9852293532584493	True	0.16666666666666666	descriptive_direction_only_n2_per_stage
parental_to_late_t790m	parental	late_t790m_gr3	0.37482029669843353	1.464380556517723	True	0.16666666666666666	descriptive_direction_only_n2_per_stage
tolerant_to_late_t790m	gefitinib_tolerant	late_t790m_gr3	-0.35959665517372663	0.7008122636817884	True	0.16666666666666666	descriptive_direction_only_n2_per_stage
early_to_late_t790m	early_t790m_gr2	late_t790m_gr3	-0.31189323339279795	0.7376379732216669	True	0.16666666666666666	descriptive_direction_only_n2_per_stage
