dataset_id	platform	usb_h5ad_path	file_bytes	sha256	n_obs	n_vars	split_strength	analysis_status
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	/Volumes/MOVESPEED/public_db_backup_2026-05-06/.openclaw/agents/stat_expert/projects/scRipple/data/norman_k562_sc.h5ad	698680199	efde6f5301fe256725dce1d980f37bd96a13481a9a16135515897368e631affc	111445	33694	technical_batch_holdout_4_vs_4	completed_16_locked_units
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	/Volumes/MOVESPEED/pgaa_cross_platform/v1/sources/DatlingerBock2017/DatlingerBock2017.h5ad	39085166	2ee8b95ef1b2567ce5cbf83fc3a20bf4318f32dc007e1228f064fe428125f7da	5905	36722	experimental_replicate_holdout_3_vs_3	completed_16_locked_units
sciplex3_a549_drug	A549 multiplexed drug perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v1/sources/SciPlex3_A549/sciplex3_A549.h5ad	413658493	fee952c80b1d09db39872bfce919a467526b08a7e2d455c17653f7993f312c79	82975	5839	biological_replicate_holdout_1_vs_1	completed_16_locked_units
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	/Volumes/MOVESPEED/pgaa_cross_platform/v1/sources/NadigOConner2024/NadigOConner2024_hepg2.h5ad	850590740	1af2f7b3e692ad3d077e6027d68a1f800619e29aa3f7a0efa70146fb7223a4bf	145473	9624	experimental_batch_holdout_28_vs_28	completed_16_frozen_confirmation_units
