dataset_id	platform	split_strength	analysis_unit	method	median_observed_overlap	median_pseudo_overlap	median_specificity_margin	n_repeats
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|CD30L	pgaa_w	0.15	0.08	0.03	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|CD30L	welch_abs_t	0.04	0.03	0.0	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|CD40L	absolute_mean_shift	0.08	0.07	0.0099999999999999	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|CD40L	pgaa_h	0.03	0.02	0.0	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|CD40L	pgaa_w	0.12	0.08	0.0099999999999999	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|CD40L	welch_abs_t	0.02	0.02	-0.0099999999999999	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|Cardiotrophin-1	absolute_mean_shift	0.08	0.07	0.0099999999999999	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|Cardiotrophin-1	pgaa_h	0.03	0.03	0.0	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|Cardiotrophin-1	pgaa_w	0.11	0.08	0.04	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|Cardiotrophin-1	welch_abs_t	0.01	0.01	0.0	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|Decorin	absolute_mean_shift	0.1	0.08	0.0099999999999999	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|Decorin	pgaa_h	0.04	0.03	0.02	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|Decorin	pgaa_w	0.09	0.08	0.0199999999999999	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|Decorin	welch_abs_t	0.02	0.02	-0.0099999999999999	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|EGF	absolute_mean_shift	0.08	0.09	0.0199999999999999	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|EGF	pgaa_h	0.04	0.06	0.0	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|EGF	pgaa_w	0.1	0.09	0.03	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|EGF	welch_abs_t	0.02	0.03	-0.0099999999999999	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|FGF-basic	absolute_mean_shift	0.09	0.06	0.0	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|FGF-basic	pgaa_h	0.03	0.03	0.0	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|FGF-basic	pgaa_w	0.09	0.08	0.0	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|FGF-basic	welch_abs_t	0.02	0.01	0.01	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|FasL	absolute_mean_shift	0.12	0.09	0.0499999999999999	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|FasL	pgaa_h	0.03	0.02	0.0	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|FasL	pgaa_w	0.12	0.12	-0.03	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|FasL	welch_abs_t	0.03	0.02	0.01	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|G-CSF	absolute_mean_shift	0.09	0.09	0.0	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|G-CSF	pgaa_h	0.03	0.04	-0.01	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|G-CSF	pgaa_w	0.11	0.1	-0.02	5
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	cDC1|G-CSF	welch_abs_t	0.02	0.03	-0.01	5
