dataset_id	platform	split_strength	analysis_unit	excluded_feature	repeat	method	n_per_group	n_evaluated_features	observed_top_k_overlap_fraction	pseudo_top_k_overlap_fraction	specificity_margin	observed_all_feature_spearman	pseudo_all_feature_spearman	split_seed	sampling_seed
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	4	pgaa_h	70	4999	0.02	0.04	-0.02	0.0144881679588241	0.0254416116835075	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	4	absolute_mean_shift	70	4999	0.05	0.07	-0.02	0.060303440383191	0.0230005294249246	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	4	welch_abs_t	70	4999	0.02	0.06	-0.0399999999999999	0.010713854223683	0.0057024359976774	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	0	pgaa_w	70	4999	0.07	0.03	0.04	0.2160269323116016	0.2236884318627801	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	0	pgaa_h	70	4999	0.02	0.07	-0.05	0.0232388220689313	0.020958878485014	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	0	absolute_mean_shift	70	4999	0.06	0.03	0.03	0.0709118690055594	0.0472990680407915	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	0	welch_abs_t	70	4999	0.04	0.04	0.0	0.0179943223707403	-0.0012252803983047	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	1	pgaa_w	70	4999	0.03	0.04	-0.01	0.1984431751751763	0.2017943825596712	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	1	pgaa_h	70	4999	0.01	0.02	-0.01	0.0241897046731769	0.0325790866893744	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	1	absolute_mean_shift	70	4999	0.04	0.02	0.02	0.0458595707671978	0.0575352464106926	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	1	welch_abs_t	70	4999	0.03	0.0	0.03	0.0181398979924743	0.0207801771168533	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	2	pgaa_w	70	4999	0.01	0.04	-0.03	0.2068774421970529	0.1927879484411633	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	2	pgaa_h	70	4999	0.02	0.03	-0.0099999999999999	0.0271718671902207	0.0326891453618092	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	2	absolute_mean_shift	70	4999	0.01	0.03	-0.0199999999999999	0.0229052317099057	0.0415408182436203	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	2	welch_abs_t	70	4999	0.02	0.03	-0.0099999999999999	-0.0224004465249544	0.0066509790801678	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	3	pgaa_w	70	4999	0.08	0.02	0.06	0.2134533590614138	0.2118530160395513	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	3	pgaa_h	70	4999	0.04	0.02	0.02	0.0241471452371432	0.0234137809004896	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	3	absolute_mean_shift	70	4999	0.08	0.04	0.04	0.0702528840116648	0.0589774612856517	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	3	welch_abs_t	70	4999	0.02	0.01	0.01	0.04079898275463	0.0157109427659153	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	4	pgaa_w	70	4999	0.04	0.05	-0.01	0.2257813347597678	0.1991251643461525	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	4	pgaa_h	70	4999	0.04	0.03	0.01	0.0106751318535494	0.009002919131388	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	4	absolute_mean_shift	70	4999	0.03	0.04	-0.01	0.0048042891174732	0.0344686147876558	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ARID1B	ARID1B	4	welch_abs_t	70	4999	0.01	0.02	-0.01	-0.0353915303597428	0.0118967652840002	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ATM	ATM	0	pgaa_w	70	4999	0.04	0.02	0.02	0.2083939993050703	0.2003435711968489	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ATM	ATM	0	pgaa_h	70	4999	0.0	0.02	-0.02	0.0140567526615349	0.0067470166670216	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ATM	ATM	0	absolute_mean_shift	70	4999	0.02	0.03	-0.0099999999999999	0.0636136738291579	0.0276384295366375	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ATM	ATM	0	welch_abs_t	70	4999	0.01	0.01	0.0	0.0193882103214626	-0.0084370000536796	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ATM	ATM	1	pgaa_w	70	4999	0.05	0.07	-0.02	0.2340538579065217	0.1977107086818424	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ATM	ATM	1	pgaa_h	70	4999	0.02	0.01	0.01	0.0014699922717551	0.0250438716168366	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ATM	ATM	1	absolute_mean_shift	70	4999	0.04	0.05	-0.01	0.0595149515011314	0.0338297830082938	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ATM	ATM	1	welch_abs_t	70	4999	0.02	0.02	0.0	0.0027179478636084	0.0044113648182994	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ATM	ATM	2	pgaa_w	70	4999	0.05	0.07	-0.02	0.2398390046912066	0.1928590514834231	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ATM	ATM	2	pgaa_h	70	4999	0.02	0.02	0.0	0.0145985456999748	0.0391368436384087	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ATM	ATM	2	absolute_mean_shift	70	4999	0.06	0.06	0.0	0.0749530095839005	0.0523813783707979	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ATM	ATM	2	welch_abs_t	70	4999	0.04	0.0	0.04	0.0124423177558653	0.0195965750182255	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
