unit_id	evidence_type	context	decision_state	n_comparative_support	n_descriptive_only	n_failure_or_guardrail	stability_class	n_leave_one_checks	n_state_preserved	n_state_changed	n_pgaa_omission_changed	external_state	internal_claim_ceiling	compiled_claim_ceiling	permission_rank	replication_gate	wet_lab_claim_allowed	source_external_claim_ceiling
adamson_decision_benchmark::BHLHE40_pDS258	adamson_decision_benchmark	BHLHE40_pDS258	supported_responder_state	2	0	3	leave_one_method_stable	5	5	0	0	external_same_context_concordant	bounded_comparative_support	bounded_computational_same_context_replication	3	allowed	False	bounded_computational_same_context_replication_allowed
adamson_decision_benchmark::CREB1_pDS269	adamson_decision_benchmark	CREB1_pDS269	supported_responder_state	2	0	3	leave_one_method_stable	5	5	0	0	external_same_context_concordant	bounded_comparative_support	bounded_computational_same_context_replication	3	allowed	False	bounded_computational_same_context_replication_allowed
adamson_decision_benchmark::DDIT3_pDS263	adamson_decision_benchmark	DDIT3_pDS263	supported_responder_state	2	0	3	leave_one_method_stable	5	5	0	0	external_same_context_concordant	bounded_comparative_support	bounded_computational_same_context_replication	3	allowed	False	bounded_computational_same_context_replication_allowed
adamson_decision_benchmark::SPI1_pDS255	adamson_decision_benchmark	SPI1_pDS255	supported_responder_state	1	3	1	pgaa_support_dependent	5	4	1	1	external_same_context_blocked	bounded_comparative_support	bounded_comparative_support	2	blocked_by_missing_external_evidence	False	internal_only_no_external_replication_claim
adamson_decision_benchmark::ZNF326_pDS262	adamson_decision_benchmark	ZNF326_pDS262	supported_responder_state	2	0	3	leave_one_method_stable	5	5	0	0	external_same_context_concordant	bounded_comparative_support	bounded_computational_same_context_replication	3	allowed	False	bounded_computational_same_context_replication_allowed
norman_decision_benchmark::CEBPA	norman_decision_benchmark	CEBPA	provisional_responder_state	0	1	3	method_sensitive	4	3	1	1	external_same_context_blocked	descriptive_statement	descriptive_statement	1	blocked_by_missing_external_evidence	False	internal_only_no_external_replication_claim
norman_decision_benchmark::CEBPE	norman_decision_benchmark	CEBPE	provisional_responder_state	0	4	0	method_sensitive	4	3	1	1	external_same_context_blocked	descriptive_statement	descriptive_statement	1	blocked_by_missing_external_evidence	False	internal_only_no_external_replication_claim
norman_decision_benchmark::KLF1	norman_decision_benchmark	KLF1	provisional_responder_state	0	3	1	method_sensitive	4	3	1	1	external_same_context_blocked	descriptive_statement	descriptive_statement	1	blocked_by_missing_external_evidence	False	internal_only_no_external_replication_claim
