Cell line	drug	dtp_branch_score	Screen format	Combination activity	combination_activity_z	Screen hit status
HCC2935	AZD0156	0.5351494186440378	sequential	46.0	-0.5517733722428213	none
HCC2935	AZD0156	0.5351494186440378	upfront	-717.0	-1.3984587690993062	none
HCC827	AZD0156	0.7580528110337137	sequential	2987.0	-0.704119845309248	none
HCC827	AZD0156	0.7580528110337137	upfront	3353.0	-0.6449952303090789	none
H1975	AZD0156	1.2078843005890234	sequential	15974.0	2.1870516972086174	hit
H1975	AZD0156	1.2078843005890234	upfront	5916.0	-0.7332033913817846	none
PC9	AZD0156	2.7142543360501072	sequential	10400.23422	1.299992392247137	hit
PC9	AZD0156	2.7142543360501072	upfront	14679.43391	1.0533870177626568	hit
